aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.389289,0.043514,0.391713,0.283890,0.519104,0.000041,0.000764,0.428483,0.046191,0.430966,0.365128,0.554642,0.000047,0.000769,0.485488,0.030999,0.486477,0.433426,0.568802,0.000021,0.000372,0.537248,0.020798,0.537650,0.477539,0.584381,0.000009,0.000132,0.544744,0.040005,0.546211,0.458420,0.624847,0.000035,0.000635,0.478901,0.047807,0.481282,0.365936,0.565582,0.000050,0.001183
0.363685,0.076250,0.371592,0.167786,0.466583,0.000125,0.004279,0.447816,0.054942,0.451174,0.348129,0.561615,0.000065,0.001973,0.518716,0.047178,0.520857,0.448395,0.641953,0.000048,0.001208,0.455921,0.028376,0.456803,0.407944,0.510422,0.000017,0.000450,0.474035,0.075147,0.479954,0.301758,0.569687,0.000121,0.004598,0.531694,0.044787,0.533577,0.454453,0.622742,0.000043,0.000880
0.457316,0.073810,0.463234,0.357224,0.570663,0.000118,0.005836,0.429547,0.052665,0.432764,0.269592,0.518707,0.000060,0.001105,0.526839,0.076537,0.532370,0.296722,0.638611,0.000127,0.003610,0.507350,0.025377,0.507984,0.441666,0.557602,0.000014,0.000400,0.529910,0.062494,0.533582,0.386169,0.619797,0.000085,0.003036,0.487474,0.040163,0.489126,0.363342,0.549652,0.000035,0.000423
0.431749,0.125384,0.449587,0.116165,0.620483,0.000338,0.009830,0.475240,0.191653,0.512429,0.089096,0.849442,0.000789,0.033866,0.522181,0.130127,0.538150,0.250748,0.817657,0.000364,0.014127,0.497362,0.015374,0.497600,0.458374,0.524338,0.000005,0.000064,0.504483,0.097363,0.513792,0.316010,0.719299,0.000204,0.006966,0.512821,0.143390,0.532490,0.248566,0.862549,0.000442,0.015664
0.356476,0.164894,0.392766,0.000015,0.631668,0.000581,0.010141,0.430303,0.167491,0.461750,0.000015,0.989853,0.000600,0.016434,0.492081,0.168985,0.520288,0.111298,0.999985,0.000610,0.012320,0.498930,0.030656,0.499871,0.427124,0.581009,0.000020,0.000346,0.484378,0.141642,0.504663,0.123398,0.810593,0.000429,0.008478,0.466647,0.153992,0.491399,0.058746,0.812454,0.000507,0.016816
0.443089,0.035396,0.444500,0.358292,0.499786,0.000027,0.000729,0.392895,0.032372,0.394226,0.327805,0.479309,0.000022,0.000516,0.503661,0.031754,0.504661,0.451111,0.570709,0.000022,0.000430,0.495160,0.009397,0.495249,0.466934,0.517151,0.000002,0.000030,0.501473,0.021087,0.501917,0.454971,0.565384,0.000009,0.000269,0.503362,0.024977,0.503982,0.461166,0.567581,0.000013,0.000348
0.510480,0.047057,0.512644,0.347427,0.644684,0.000047,0.000789,0.546199,0.065048,0.550058,0.301102,0.687500,0.000090,0.001724,0.598968,0.048414,0.600921,0.489960,0.761719,0.000050,0.000709,0.508799,0.062878,0.512669,0.178558,0.727737,0.000084,0.000838,0.501251,0.060157,0.504848,0.041046,0.643097,0.000077,0.000734,0.497500,0.038104,0.498957,0.290115,0.684006,0.000031,0.000206
0.556214,0.048789,0.558350,0.369370,0.621078,0.000051,0.000882,0.475267,0.034983,0.476553,0.362549,0.619598,0.000026,0.000564,0.581436,0.033558,0.582404,0.464386,0.624863,0.000024,0.000380,0.492627,0.024488,0.493236,0.327423,0.557770,0.000013,0.000108,0.496595,0.016782,0.496879,0.426666,0.517899,0.000006,0.000107,0.486897,0.028133,0.487710,0.397034,0.557587,0.000017,0.000275
0.414483,0.049754,0.417459,0.243164,0.484726,0.000053,0.001279,0.562914,0.039346,0.564288,0.483688,0.774399,0.000033,0.000484,0.434987,0.043967,0.437204,0.181061,0.555634,0.000041,0.000342,0.495517,0.065265,0.499796,0.165817,0.742020,0.000092,0.000772,0.519205,0.083539,0.525882,0.399719,0.935837,0.000150,0.001760,0.491672,0.076767,0.497629,0.204559,0.591599,0.000127,0.003202
0.324727,0.099876,0.339739,0.000015,0.622223,0.000213,0.003362,0.497001,0.080845,0.503533,0.291702,0.677032,0.000139,0.002065,0.446724,0.104442,0.458771,0.176773,0.715302,0.000233,0.003047,0.496199,0.076483,0.502059,0.285645,0.645874,0.000125,0.002324,0.487115,0.115588,0.500641,0.294083,0.881912,0.000285,0.004088,0.516827,0.086948,0.524090,0.350021,0.690460,0.000161,0.002931
